Job Title,Salary,Location,Company,Views,Candidates,Job URL,Job Description
Teisininkas,1900 €/mėn.,"Prienai, Kaunas, Marijampolė",UAB „Novo projektai“,167,6,https://www.cvbankas.lt/teisininkas-prienuose/1-11108899,"UAB Novo projektai kviečia prie savo komandos prisijungti teisininką, kuris užtikrintų kompanijos veiklos atitikimą teisės aktams bei spręstų teisinius klausimus. Jeigu mėgstate iššūkius ir nenuleidžiate rankų sudėtingose situacijose - mes laukiame Jūsų!
Būsite atsakingi už:
Pretenzijų, skundų bei kitų su įmonės veikla susijusių dokumentų rengimą;
Įmonės interesų atstovavimą muitinėje ir kitose valstybinėse institucijose;
Situacijų teisinę analizę ir siūlymų teikimą;
Vadovų bei kitų įmonės darbuotojų konsultavimą civilinės, bendrovių, darbo, muitinės, mokesčių, ES, transporto teisių, nekilnojamojo turto, viešųjų pirkimų teisiniais klausimais;
Viešųjų pirkimų dokumentų rengimą ir derinimą;
Sutarčių rengimas, derinimas, sutarčių vykdymo priežiūra;
Įmonės vidaus dokumentų (tvarkų, raštų ir kt.) rengimą.
Mes tikimės, kad jūs:
Turite aukštąjį universitetinį teisinį išsilavinimą;
Turite teisinio darbo patirtį;
Puikiai mokate lietuvių kalbą;
Turite anglų kalbos žinias (žodžiu ir raštu), rusų kalbos žinojimas laikomas privalumu;
Turite gerus teisinių dokumentų rengimo įgūdžius;
Turite puikius darbo kompiuteriu įgūdžius;
Gebate dirbti savarankiškai, turite gerus bendravimo įgūdžius;
Esate orientuotas į rezultatą, atsakingas, norite tobulėti.
Įmonė siūlo:
Atsakingą, įdomų ir dinamišką darbą tarptautinėje kompanijoje;
Draugišką komandą;
Asmeninio ir profesinio tobulėjimo galimybes.
Atlyginimas
1900 €/mėn. neatskaičius mokesčių
Darbo užmokestis priklausys nuo turimų kompetencijų ir darbo patirties."
Specialistas (-ė) Klientų pažinimas ir analizė (Ang. KYC),1290-1930 €/mėn.,Šiauliai,AB ŠIAULIŲ BANKAS,222,No data,https://www.cvbankas.lt/specialistas-e-klientu-pazinimas-ir-analize-ang-kyc-siauliuose/1-11108851,"Arčiau kiekvieno esantis bankas – taip, tai apie mus!

Esame tikri, kad tavo karjera gali prasidėti arba sėkmingai tęstis būtent čia.

Šiandien į Šiaulių banko komandą kviečiame motyvuotą ir atsakingą Specialistą (-ę), kuris (-i) yra pasiruošęs (-usi) dirbti komandoje, bendrai priimti sprendimus, siekti užsibrėžtų tikslų, būtų atviras (-a) diskusijai, norėtų dirbti pasitikėjimu grįstoje kultūroje ir, žinoma, būti #arčiau.

Kasdien būsi #arčiau ir:

Užtikrinsi klientų – fizinių asmenų - pažinimo funkciją bei dirbsi pagal ""pažink savo klientą"" (Know Your Customer) principą;
Būsi atsakingas (-a) už klientų duomenų kokybę bei pateiktų duomenų teisingumą;
Stebėsi registruojamus duomenis ir atliksi nuolatinį jų atnaujinimą;
Sisteminsi informaciją apie klientų duomenis;
Bendrausi ir bendradarbiausi su kitų banko padalinių kolegomis dėl duomenų banko sistemose atnaujinimo.

Tam, kad būtum #arčiau, tau prireiks:

Aukštojo išsilavinimo ekonomikos ar finansų srityse;
Patirties ir žinių apie ""pažink savo klientą"" (Know Your Customer) procesus arba darbo patirties banko klientų aptarnavimo srityje;
Puikių darbo kompiuteriu įgūdžių;
Gebėti sisteminti informaciją ir analizuoti duomenis;
Gerų rusų ir anglų kalbų žinių (privalumas);
Atsakingumo, atidumo ir atvirumo naujovėms;
Gebėjimo dirbti tiek komandoje, tiek individualiai.



Būdamas #arčiau tu gausi:

Žalią šviesą tavo iniciatyvoms. Turi gerų idėjų? Visi kartu stengiamės jas įgyvendinti.
Vadovus, kurie padeda augti. Vadovai mūsų banke - lyderiai ir mes tuo didžiuojamės. Tavo būsimas vadovas Berta Juškienė – vienas jų.
Dinamišką, atvirą ir augančią organizaciją. Esame įvairiapusiai, domimės įvairiomis sritimis, šakojamės tiek horizontaliai, tiek vertikaliai, todėl drąsiai siūlome tau neįkainojamas patirtis, nuolatinį tobulėjimą ir vietą profesiniam augimui.
Pasiekimus, kurie gyvuoja Lietuvoje. Ypatingai didžiuojamės būdami lietuvišku banku, tikime, kad mūsų kraštas ir mūsų žmonės yra ypatingi, todėl, savo ruožtu, kasdien darome viską, kad padėtume jiems atsiskleisti.
Asmeninių naudų krepšelį. Sveikatos draudimas, pensijų kaupimo programa, papildomos atostogos, lanksti darbo pradžia, moderni infrastruktūra – ir čia dar toli gražu ne visas mūsų naudų sąrašas!
Atlygį. Konkretus atlygis priklausys nuo darbo patirties bei kompetencijų, todėl nurodome tik galimą rėžį: nuo 1290.00 iki 1930.00 EUR neatskaičius mokesčių.
Priedus. Darbuotojams mokame priedus, priklausančius nuo banko, komandos ir tavo paties rezultatų.

Kas dar svarbu?

Nori patirti, ką reiškia dirbti Šiaulių banko grupėje ir būti #arčiau? Užpildyk formą, atsiųsk mums informaciją apie save iki 2024 02 14 ir pasikalbėkime. Nekantriai laukiame, kol visa tai galėsime tau parodyti!
Atlyginimas
1290-1930 €/mėn. neatskaičius mokesčių"
TEISĖS SKYRIAUS SPECIALISTAS (-Ė),900-1100 €/mėn.,Kaunas,Hegelmann Group,119,4,https://www.cvbankas.lt/teises-skyriaus-specialistas-e-kaune/1-11108813,"UAB ""Legal Experts"" kviečia prisijungti prie komandos Teisės skyriaus specialistę (-ą) !
Darbo pobūdis:
Klientų, tiekėjų pretenzijų registravimas, nagrinėjimas, atsakymų rengimas;
Probleminių situacijų valdymas ir administravimas (dokumentų, informacijos rinkimas, vertinimas, išvadų teikimas);
Informacinės medžiagos ruošimas, sklaida;
Kolegų konsultavimas.
Reikalavimai:
Aukštasis arba jį atitinkantis išsilavinimas (teisės srityje – privalumas);
Panašaus darbo patirtis (transporto sektoriuje – privalumas);
Būtinos geros anglų kalbos žinios (žodžiu ir raštu). Kitų kalbų mokėjimas – privalumas;
Raštvedybos taisyklių išmanymas;
Atsakingumas, analitinis mąstymas, greita reakcija, gebėjimas dirbti komandoje bei individualiai, darbo organizavimo įgūdžiai.
Siūlome:
Partnerių teikiamas nuolaidas grožio, sveikatingumo ir pramogų sferose;
Galimybę nemokamai stebėti ""Žalgirio"" komandos rungtynes;
Žinias, karjeros galimybes, ambicingą kolektyvą;
Šiuolaikišką darbo aplinką.


Darbo vieta: Pirklių g. 5, Žemaitkiemis, Domeikavos sen.


SUSISIEKSIME TIK SU ATRINKTAIS KANDIDATAIS


Kandidatuodamas į šią poziciją, kandidatas sutinka, jog jo (jos) asmeniniai duomenys bus administruojami Bendrojo Duomenų Apsaugos Reglamento numatyta tvarka ir saugomi HT personalo skyriaus darbuotojų. Asmeniniai duomenys nebus perduodami trečiosioms šalims be kandidato sutikimo.
Atlyginimas
900-1100 €/mėn. į rankas
Konkretus darbo užmokestis siūlomas atsižvelgiant į kandidato darbo patirtį ir turimas kompetencijas."
TEISININKAS (-Ė),2500-3500 €/mėn.,Vilnius,UAB „Energesman“,99,9,https://www.cvbankas.lt/teisininkas-e-vilniuje/1-10968792,"Darbo pobūdis
Įmonės dokumentų, sutarčių rengimas, derinimas, peržiūra, administravimas.
Kitų įmonės darbuotojų parengtų teisės aktų, sutarčių ir kitų dokumentų projektų vertinimas.
Įmonės vadovų, darbuotojų konsultavimas teisiniais klausimais.
Procesinių dokumentų rengimas, įmonės atstovavimas teismuose ir kitose institucijose.
Aktualių teisės aktų analizavimas, pasiūlymų teikimas dėl jų taikymo įmonės darbuotojams.
Reikalavimai darbuotojui
Aukštasis teisinis išsilavinimas.
Nemažesnė nei 2 metų teisinio darbo patirtis.
Gebi surasti, sisteminti, apibendrinti informaciją ir ją panaudoti rengiant išvadas ir pasiūlymus.
Esi savarankiškas (-a), atsakingas (-a), komunikabilus (-i).
Italų kalbos žinios (privalumas).
Aplinkosaugos teisės žinios ir patirtis (privalumas).
Įmonė siūlo:
Kursus ir mokymus, padedančius tobulinti profesinius įgūdžius.
Motyvuojantį atlyginimą.
Galimybę lanksčiai dirbti iš biuro ir namų.
Darbą draugiškame kolektyve.
Atlyginimas
2500-3500 €/mėn. neatskaičius mokesčių"
"Counsel, Corporate Governance",4167-6667 €/mon.,Vilnius,UAB „Convera Lithuania“,No data,No data,https://www.cvbankas.lt/counsel-corporate-governance-vilniuje/1-10999689,"Counsel, Corporate Governance
As a Counsel in the Corporate Governance team with Convera based in Vilnius office, you will support the corporate legal affairs unit of the global legal team. Corporate legal affairs includes the following arears: company secretarial, privacy, procurement, treasury, human resources, tax and insurance. You will report to the head of corporate legal affairs who is based in London.
You will be responsible for:
Support with various company secretarial tasks including preparation of board materials, organizing meetings, taking minutes and preparing resolutions
Coordination across global stakeholder groups to facilitate presentations to boards
Coordination of corporate governance agenda globally
Support colleagues on development of corporate governance strategy and priorities
Managing Convera’s outside company secretarial vendor to track filing documents
Management of corporate records
Management of online company secretarial database
Cooperate with outside counsel supporting corporate legal affairs
Preparation of NDAs, reviews of NDAs and engagement letters
You should apply if you have:
Law degree or equivalent qualification essential
2-5 years of qualification experience in corporate or company secretarial
Ideally experience, preferably in house with fintech or financial services companies
Result-oriented and pro-active
Strong communication skills
Experience supporting many different areas of law
Ability to work accurately and under pressure
We offer an abundance of competitive perks and benefits including:
Market competitive monthly gross salary of 4,167 – 6,667 EUR
Great career growth and development opportunities in a global organization A flexible approach to work (6-10 days per month in the office) Generous insurance (health, disability, life)
Paid holidays, time-off, and leave policies for life events (maternity, paternity, adoption)
Work from abroad 60 days per year
Paid volunteering opportunities (5 days per year)
Salary
4167-6667 €/mon. gross"
Teisininkas,4000-4400 €/mėn.,Vilnius,UAB „TELE2“,500,15,https://www.cvbankas.lt/teisininkas-vilniuje/1-11105759,"Darbo pobūdis
Šiuo metu ieškome Teisininko, kuriam patikėsime įmonės reguliuojamos veiklos priežiūrą ir bendrinį įmonės teisinių reikalų tvarkymą. Būsi Tele2 atstovas santykiuose su partneriais, teismuose bei kitose valstybinėse institucijose visais priskirtais klausimais. Įdomu? Prisijunk!



Tikimės, kad Tau bus įdomu:

sutarčių ir įmonės vidinių teisinių dokumentų ruošimas, derinimas;
naujų produktų įvedimo ir esamų produktų teisinė priežiūra;
įmonės reguliuojamos veiklos priežiūra;
reklamos ir konkurencijos teisės klausimų nagrinėjimas;
bendrovės ir klientų ginčo situacijų teisinis įvertinimas (konsultavimas);
atstovavimas bendrovei santykiuose su partneriais, teismuose bei kitose valstybinėse institucijose visais priskirtais klausimais.



Tam, kad tau sektųsi prireiks:

ne mažiau 3 m. teisinio darbo patirties reguliaciniais, darbo ir reklamos klausimais (konkurencijos teisės išmanymas – privalumas);
noro prisiimti visišką atsakomybę už Tau patikėtas užduotis;
gebėjimo dirbti su skirtingomis komandomis – partneriais, vidiniais skyriais, išoriniais paslaugų tiekėjais – kartu siekiant bendrų tikslų;
komforto jausmo dirbant dinamiškoje įmonėje, kur drąsa, greitis ir veiksmas yra vertybės;
puikių lietuvių ir anglų kalbos įgūdžių (žodžiu ir raštu).



Atlyginimas nuo 4000 Eur neatskaičius mokesčių, su priedais gali siekti 4400 Eur neatskaičius mokesčių ir daugiau, (atlyginimas bus aptariamas su Tavimi ir priklausys nuo turimų žinių ir įgūdžių), plius papildomų naudų krepšelis:



mobilus telefonas ir neribotų pokalbių bei interneto planas;
pokalbių bei interneto planų pasiūlymai šeimos nariams ir artimiesiems;
modemas su neribotu internetu namams;
GO3 televizija telefone ir televizoriuje;
nuolaidos „Tele2“ parduodamoms prekėms;
įmonės renginiai ir komandinės veiklos;
mokymai;
draudimas.

Jei turi klausimų, į juos mielai atsakys Edvinas, tel. nr.: +37066800417.

#KamDirbtiKitur! tele2.lt/privatiems/karjera #Padarom tele2.lt/privatiems/karjera #DrąsiaiKitaip tele2.lt/privatiems/karjera
Atlyginimas
4000-4400 €/mėn. neatskaičius mokesčių"
Teisininkas (-ė),2179-3300 €/mėn.,Vilnius,UAB „Simplika“,301,13,https://www.cvbankas.lt/teisininkas-e-vilniuje/1-11104715,"Mūsų klientė, organizacija, įgyvendinanti projektus skirtus spręsti visuomenės socialines problemas. Šiandien kolektyve dirba daugiau nei 150 kompetentingų specialistų, kuriuos vienija bendras tikslas - kurti įtraukesnį, sąmoningesnį ir tvaresnį pasaulį pasitelkus socialines inovacijas.

Kviečiame Jus tapti svarbia šios organizacijos, dalimi. Tai puiki proga prisijungti prie komandos bei pritaikyti savo žinias ir patirtį.
Šiuo metu Agentūra ieško patyrusio Teisininko (-ės), kuris (-i):
Teiks teisines konsultacijas interesantams, projektų pareiškėjams/vykdytojams ir Agentūros darbuotojams priskirtų programų teisiniais klausimais.
Atliks pažeidimų tyrimus projektuose pagal nustatytą tvarką.
Ruoš ir vertins sutartis bei jų pakeitimus, atliks derinimą ir vykdymo teisinę kontrolę, taip pat vertins trečiųjų šalių pateiktas sutartis.
Dalyvaus tiekėjų pateiktų pretenzijų nagrinėjime.
Nagrinės teisės aktų projektus ir teiks pasiūlymus bei išvadas.
Atstovaus Agentūrai teisiniuose ginčuose ir rengs dokumentus teisėsaugos institucijoms.
Lūkesčiai kandidatui (-ei):
Aukštasis universitetinis teisinis išsilavinimas.
Bent vienerių metų patirtis teisinio darbo srityje.
Gebėjimas taikyti teisės aktus, susijusius su Agentūros funkcijomis.
Raštvedybos taisyklių žinios ir geri darbo kompiuteriu įgūdžiai.
Puikūs planavimo ir laiko planavimo įgūdžiai.
Stiprūs organizaciniai, komandinio darbo įgūdžiai.
Pareigingumas, kruopštumas, kūrybiškumas.

Privalumai:
Patirtis su korupcijai atsparios aplinkos kūrimu, priežiūra ir tobulinimu.
Patirtis vykdant duomenų apsaugos pareigūno funkcijas.
Organizacija siūlo:
Draugišką aplinką bei ambicingą komandą, kurią vienija bendros vertybės.
Darbo vietą Vilniuje (taikome hibridinį darbo modelį, t.y. deriname darbą iš namų ir biure)
Darbo užmokestį 2179-3300 Eur (Bruto), atsižvelgiant į darbo patirtį ir kompetenciją.
Pasiteiravimui:
Tel.+ 37067021432
www.linkedin.com/in/lina-mikolaitiene

Informuosime tik atrinktus kandidatus, konfidencialumą garantuojame. Siųsdami savo CV Jūs sutinkate, kad UAB „Simplika“ tvarkytų Jūsų asmens duomenis galimo įdarbinimo bendrovėje ar paslaugų teikimo UAB „Simplika“ klientams tikslais. Jūs turite teisę bet kada atšaukti savo sutikimą, tvarkyti, keisti bei prašyti ištrinti savo anksčiau pateiktus duomenis.
Atlyginimas
2179-3300 €/mėn. neatskaičius mokesčių
(galutinis atlygis bus aptariamas pokalbio metu, kuris priklausys nuo jūsų turimos kompetencijos)."
TEISININKĖ (-AS) (GAMYBOS TEISĖ) TERMINUOTA SUTARTIS,2560-3840 €/mėn.,Vilnius,Ignitis grupė,190,No data,https://www.cvbankas.lt/teisininke-as-gamybos-teise-terminuota-sutartis-vilniuje/1-11102287,"Ar norite tapti įmonės „Ignitis grupės paslaugų centras“ dalimi?
Ieškome kolegės (-os), kuri (-is) prisijungtų prie šaunios Teisės komandos ir pasidalintų su mumis sukauptomis praktinėmis teisės žiniomis bei padėtų mums rūpintis Gamybos teisės sritimi.

Vertiname atvirumą, partnerystė yra mūsų stiprybės ženklas, o atsakomybė padeda būti nepralenkiama komanda. Jei visa tai Jums artima, kviečiame jungtis prie mūsų.

Jūsų pagrindinės užduotys bus:

Būti kūrybišku teikiant teisines konsultacijas (Ignitis Grupės energetikos įmonių veiklos, nekilnojamojo turto pardavimo/nuomos, paramos teikimo ir kitais klausimais);
Dalyvauti Grupės įmonių verslo projektuose;
Analizuoti aktualų reguliavimą, konsultuoti dėl išorės ir vidaus teisėkūros, verslo procesų bei reguliavimo tobulinimo;
Rengti ir derinti sutartis, kitus dokumentus, užtikrinti jų atitikimą teisės aktų reikalavimams.
Tikimės, kad Jūs:
Turite aukštąjį universitetinį teisinį išsilavinimą;
Turite ne mažesnę nei 2 metų teisinio darbo patirtį;
Darbo patirtis su verslo (teisės) projektais (būtų privalumas);
Gebate spręsti kompleksinius teisės klausimus, derinti skirtingus interesus, pasižymite proaktyvumu;
Gerai mokate anglų ir lietuvių kalbą (žodžiu ir raštu).
Prisijungti prie mūsų verta, nes:
Turėsite galimybę dalyvauti unikalių valstybei svarbių projektų kūrime;
Turėsite galimybę susipažinti su tarptautinės, vienos didžiausių energetikos įmonių grupių Baltijos šalyse veiklomis ir atrasti save vis naujose srityse;
Dalyvausite vidinių ir išorinių mokymų programose, mokysitės iš savo srities ekspertų;
Galėsite ne tik matyti, kaip gimsta inovacijos, bet ir pati (-s) imtis pokyčių, taip prisidėdama (-as) prie energetiškai sumanaus pasaulio kūrimo;
Turėsite papildomų naudų paketą (sveikatos draudimą/pensijos kaupimą, lankstaus grafiko galimybes ir kt.).

Siekdami strateginių tikslų padidinti lyčių balansą „Ignitis grupėje“, pareigų pavadinimus darbo skelbimuose nurodome pirmiausia moteriškos giminės galūne.


„Ignitis grupė“ įvertinta tarptautiniu sertifikatu „Top Employer 2023 Lietuva“, kuris yra skiriamas įmonėms už taikomus aukščiausius standartus žmogiškųjų išteklių valdymo srityje, užtikrinant geras darbo ir tobulėjimo sąlygas.

„Ignitis grupė“ yra lygias galimybes užtikrinanti darbovietė, kurioje laukiami visi kandidatai, nediskriminuojant jų dėl rasės, religijos, lyties, seksualinės orientacijos ar lyties tapatybės, amžiaus, negalios ar dėl kitų su darbo vykdymu tiesiogiai nesusijusių požymių.

Pareigybių grupės pastovios atlyginimo dalies intervalas yra nuo 2560 iki 3840 EUR (neatskaičius mokesčių). Konkretus darbo užmokestis siūlomas atsižvelgiant į darbo patirtį ir kompetenciją. Prie darbo užmokesčio gali būti mokama kintamoji atlygio dalis.
Atlyginimas
2560-3840 €/mėn. neatskaičius mokesčių"
Verslo atitikties vadovas (-ė),3300-5780 €/mėn.,Klaipėda,UAB „RNDV Holding“,400,9,https://www.cvbankas.lt/verslo-atitikties-vadovas-e-klaipedoje/1-11021025,"Mūsų finansų skyriaus profesionalų komanda laukia motyvuoto kolegos, norinčio pritaikyti savo žinias ir sparčiai tobulėti. Dinamiška aplinka ir iššūkiai mums leidžia augti drauge bei sėkmingai siekti komandinių ir asmeninių pergalių. Daug dėmesio skiriame savo vadovų ugdymui bei tobulėjimui, tad prie savo komandos kviečiame prisijungti atvirus, iniciatyvius ir motyvuotus šių dienų lyderius.
TIKIMĖS, KAD TAU BUS ĮDOMU:
Analizuoti naujus standartus, tendencijas bei galiojančius darbo teisės, mokesčių ir migracijos įstatymus lemiančius užsienio verslo aplinką
Konsultuoti RNDV įmonių užsienio rinkų ekspertus dėl naujų standartų įgyvendinimo ir laikymosi
Stebėti ir analizuoti duomenis įvairiais pjūviais
Konsultuoti ir teikti įžvalgas skyriaus vadovams užsienio šalių darbo teisės, mokesčių, migracijos klausimais
Bendradarbiauti ir plėtoti santykius su užsienio konsultantais
Vertinti ir analizuoti įmonių grupės galimybes plėtrai užsienio rinkose.
KODĖL VERTA PRISIJUNGTI PRIE RNDV?
Naujoko įvedimo programa paremta išskirtine RNDV kultūra
Visada palaikantys ir motyvuojantys vadovai
Nuolatiniai vidiniai ir išoriniai mokymai
Karjeros galimybės RNDV įmonių grupėje
Tradiciniai renginiai, šventės, bendra veikla
Pažintinės komandiruotės į užsienyje vykdomus įmonės projektus
Papildomas sveikatos draudimas
„Perks“ nuolaidų platforma
Premijos už rekomenduotą naują kolegą
Lankstus darbo grafikas
Papildomas laisvadienis gimtadienio proga
TAM, KAD TAU PUIKIAI SEKTŲSI PRIREIKS:
Aukštojo išsilavinimą teisės / finansų srityje
Patirties dirbant su užsienio rinkomis
Gilaus suvokimo apie tarptautinius verslo procesus ir taisykles
Puikių šnekamosios ir rašomosios anglų kalbos įgūdžių
Darbo teisės / mokesčių / komandiravimo principų bent vienoje ES šalyje išmanymo (būtų privalumas)
Patirties teisės / finansų srityje darbuotojus į užsienį komandiruojančioje įmonėje (būtų privalumas)
Gebėjimo susisteminti didelius kiekius informacijos, juos analizuoti, pateikti išvadas
Susidomėjimo gilinantis į šalių darbo teisės/mokestinių bazių subtilumus
Analitiško mąstymo ir gebėjimo greitai prisitaikyti prie kintančių sąlygų
Gebėjimo savarankiškai planuoti darbus, nusistatyti prioritetus.

Siųsdami savo CV, Jūs sutinkate kad jūsų pateikti asmeniniai duomenys bus saugomi vidinėje RNDV įmonių grupės duomenų sistemoje visą atrankos laikotarpį.
Atlyginimas
3300-5780 €/mėn. neatskaičius mokesčių"
Ieškome komandos nario - Teisininko (-ės)!,2300-2500 €/mėn.,Vilnius,UAB „FERN Group“,584,26,https://www.cvbankas.lt/ieskome-komandos-nario-teisininko-es-vilniuje/1-9958750,"Darbo pobūdis
Rengti ir vertinti bendrovės rangos, subrangos, pirkimo-pardavimo, nuomos, paslaugų sutartis ir kitus teisinius dokumentus, teikti su tuo susijusias pasiūlymus bei išvadas;
Kontroliuoti bendrovės sutartis su užsakovais ir rangovais;
Prisidėti prie bendrovės procesų, susijusių su teisės klausimais, optimizavimo ir kūrimo;
Užtikrinti prevenciją teisiniams ginčams ar procesams;
Užtikrinti bendrovės atitiktį teisės aktams asmens duomenų apsaugos srityje;
Identifikuoti ir valdyti su bendrovės veikla susijusias teisines rizikas;
Teikti teisines konsultacijas bendrovės darbuotojams;
Reaguoti į aplinkos formuojamas naujoves teisinėje srityje bendrovės interesams užtikrinti;
Atstovauti bendrovei teismuose bei santykiuose su kitais subjektais.
Mes tikimės, kad Tu:
Esi įgijęs (-usi) aukštąjį universitetinį teisinį išsilavinimą (magistro laipsnio);
Turi ne mažiau kaip 1 metų darbo patirties komercinės teisės srityje (patirtis statybos, nekilnojamojo turto srityse būtų privalumas);
Turi patirties asmens duomenų apsaugos srityje;
Pasižymi lankstumu ieškant abipusiai optimalaus sprendimo;
Turi gerus analitinius bei stiprius teisinio argumentavimo įgūdžius;
Moki žodžiu ir raštu argumentuoti bei pagrįsti priimtus sprendimus;
Turi geras anglų kalbos žinias raštu ir žodžiu;
Sugebi dirbti tiek savarankiškai, tiek komandoje;
Turi B kategorijos vairuotojo pažymėjimą.
Įmonė siūlo
Įdomų ir atsakingą darbą perspektyvioje organizacijoje.
Draugišką ir darbingą atmosferą profesionalioje komandoje.
Galimybę įgyvendinti savo idėjas ir profesinius tikslus.
Mokymąsi ir profesinį tobulėjimą.
Stabilų ir konkurencingą darbo užmokestį.
Galimybę įsitraukti į dinamišką greitai augančio verslo aplinką.


Nepraleisk progos ir prisijunk prie mūsų komandos!
Atlyginimas
2300-2500 €/mėn. į rankas
Atlyginimas priklauso nuo kandidato kvalifikacijos, patirties ir darbo rezultatų."
